feature,euribor3m,campaign,education,cons.conf.idx,nr.employed,pdays,cons.price.idx,emp.var.rate,previous,housing_no,housing_yes,job_admin.,young,marital_married,middle,job_technician,marital_single,day_of_week_thu,day_of_week_mon,month_may,loan_no,day_of_week_wed,loan_yes,day_of_week_fri,day_of_week_tue,middlish,job_blue-collar,poutcome_nonexistent,marital_divorced,job_management,job_services,old,contact_cellular,contact_telephone,job_retired,default_no,default_unknown,younger,job_self-employed,job_entrepreneur,job_unemployed,job_housemaid,month_jun,loan_unknown,housing_unknown,month_jul,month_aug,job_unknown,marital_unknown,default_yes,,,,,,,,,
empVarRatePos,0.133620145,0.078502739,0.073554188,0.066413422,0.062703577,0.042219306,0.039678386,0.024758729,0.023021656,0.022248413,0.021726883,0.021681205,0.018976873,0.018109131,0.017613594,0.017062005,0.01664702,0.015937591,0.015249854,0.014939599,0.014770934,0.014699942,0.014683358,0.014545435,0.014433995,0.014192376,0.014095436,0.013832319,0.011846496,0.011478809,0.01134692,0.010246183,0.010070305,0.009857406,0.008713927,0.008309222,0.00797755,0.007697338,0.007659454,0.007337739,0.005472095,0.005178602,0.003702973,0.00294676,0.002910447,0.002693573,0.002293791,0.001779969,0.000562329,0,,,,,,,,,
empVarRatePos,0.133620145,0.078502739,0.073554188,0.066413422,0.062703577,0.042219306,0.039678386,0.024758729,0.023021656,0.022248413,0.021726883,0.021681205,0.018976873,0.018109131,0.017613594,0.017062005,0.01664702,0.015937591,0.015249854,0.014939599,0.014770934,0.014699942,0.014683358,0.014545435,0.014433995,0.014192376,0.014095436,0.013832319,0.011846496,0.011478809,0.01134692,0.010246183,0.010070305,0.009857406,0.008713927,0.008309222,0.00797755,0.007697338,0.007659454,0.007337739,0.005472095,0.005178602,0.003702973,0.00294676,0.002910447,0.002693573,0.002293791,0.001779969,0.000562329,0,,,,,,,,,
consPriceIdxGreater,0.129805116,0.108350017,0.086040885,0.079270205,0.060765782,0.023442892,0.018797724,0.018779195,0.018378707,0.018212822,0.017783748,0.017693984,0.017607748,0.016804082,0.015738656,0.015480684,0.015381509,0.015375546,0.015092057,0.014982394,0.014781697,0.01462242,0.014417238,0.014376828,0.014285702,0.013769968,0.013672786,0.013535659,0.01345782,0.013199946,0.012749037,0.01233938,0.011940441,0.011179059,0.009966222,0.008513718,0.007698286,0.006457782,0.006101012,0.006079527,0.005354584,0.005274067,0.005008885,0.004822118,0.004556787,0.002451198,0.002291616,0.002259025,0.00209975,0.0020923,0.001967513,0.001786016,0.001094197,0.000836798,0.000787568,0.000389296,,,
consPriceIdxLess,0.134337313,0.098992274,0.08184583,0.04820466,0.034890419,0.034808745,0.029932946,0.023838777,0.023790656,0.02342031,0.02137399,0.020336363,0.019218003,0.018157453,0.017695078,0.016455265,0.016265957,0.015937917,0.015859314,0.015857224,0.015256836,0.015214345,0.015087851,0.014790547,0.013393274,0.012950928,0.012544698,0.012526939,0.011790243,0.011090878,0.010742553,0.010351777,0.009920647,0.00901373,0.008986087,0.008857247,0.008444141,0.007532213,0.007417541,0.007307132,0.007130554,0.006963546,0.006882399,0.00624833,0.00529347,0.005068828,0.004221053,0.004027234,0.003842849,0.002900063,0.002870968,0.002567385,0.002357965,0.001457983,0.001165966,0.000983466,0.000817122,0.000754772,7.95E-06
consConfIdxGreater,0.138780665,0.109467092,0.084301006,0.07957635,0.059336155,0.03024225,0.027101563,0.024946841,0.024763472,0.018770658,0.018065358,0.017507606,0.017123922,0.016244029,0.015675986,0.015230155,0.014477989,0.01372235,0.013517345,0.013298176,0.013121129,0.013068336,0.011672316,0.011595163,0.011070565,0.011022583,0.010926128,0.010874218,0.010757537,0.010485304,0.010203474,0.010097821,0.009245902,0.0089556,0.008177021,0.008044544,0.007984861,0.007225976,0.005810037,0.005324635,0.004926336,0.004700967,0.004656495,0.004609642,0.004585903,0.004515066,0.004325464,0.003981886,0.00309101,0.002026347,0.001987061,0.001911776,0.001396344,0.00136018,0.001347808,0.001159099,0.000836396,0.0007701,0
consConfIdxLess,0.124385841,0.123017526,0.100900345,0.025839168,0.025242823,0.024719261,0.02424064,0.022471083,0.02241924,0.022081208,0.020994181,0.020360056,0.020074125,0.0196383,0.018850318,0.018672663,0.018272009,0.018124739,0.018090531,0.017790429,0.017745583,0.01695646,0.016672286,0.016010934,0.015523029,0.014682355,0.014559944,0.013759532,0.013679572,0.010698093,0.010338098,0.010313719,0.009984552,0.00990279,0.009176529,0.008977813,0.008875402,0.008333708,0.007687607,0.007296196,0.006667981,0.005970125,0.005783335,0.005284077,0.005136856,0.004087544,0.003623606,0.002951692,0.002922199,0.002416311,0.002156455,0.002037598,0.001730026,0.000913463,0.000913256,4.67E-05,1.07E-07,,
consConfIdxNeg,0.138111804,0.101049842,0.081645743,0.060347399,0.046696822,0.032524882,0.022268349,0.021608589,0.0213014,0.021178009,0.020782703,0.019130464,0.017902911,0.017777206,0.017004355,0.016781334,0.01636301,0.015539059,0.015288876,0.014550038,0.014504779,0.014432269,0.014228362,0.01403351,0.014016613,0.013965622,0.012872983,0.012751093,0.012609378,0.012153512,0.012083854,0.011793921,0.010772853,0.010118581,0.008762713,0.008643051,0.007777564,0.007541154,0.007526021,0.006246382,0.006132383,0.005450823,0.005295118,0.005098314,0.004909575,0.003619879,0.003226699,0.002591094,0.002534801,0.002526945,0.002359954,0.002293643,0.002279047,0.001974262,0.001872125,0.001811624,0.000880539,0.000450889,5.27E-06
euribor3mGreater,0.159557524,0.11784983,0.109644951,0.028445812,0.028404117,0.028349566,0.026080237,0.024850522,0.024466318,0.02334217,0.023074286,0.021465664,0.02077821,0.020767693,0.020273936,0.020164872,0.019880232,0.019865462,0.019789783,0.019620324,0.019265625,0.01843971,0.018018454,0.017456513,0.016509842,0.012010303,0.0115923,0.010309086,0.008056135,0.007617706,0.007392998,0.006944494,0.0066492,0.006407731,0.006363644,0.006128071,0.005432883,0.004944436,0.00458756,0.004355877,0.003427401,0.003221563,0.003097875,0.003019784,0.001987935,0.001754481,0.001710315,0.001522082,0.001475939,0.001465516,0.001203295,0.000645228,0.000302709,1.13E-05,4.63E-07,,,,
euribor3mLess,0.133506033,0.079341944,0.072936642,0.058375776,0.041354485,0.026642262,0.025368267,0.023278525,0.022192762,0.021254094,0.021235401,0.020958503,0.020085739,0.019812831,0.019098155,0.018118433,0.017664136,0.017507961,0.0170211,0.016319773,0.015648887,0.015491098,0.015360433,0.015317161,0.015266912,0.015264464,0.014781169,0.014774542,0.012034839,0.011407959,0.011255974,0.011216138,0.010601204,0.010443103,0.009770367,0.009490882,0.00944233,0.008395487,0.008394549,0.007820724,0.007213883,0.005924358,0.005853555,0.005753534,0.00554657,0.0047034,0.004212713,0.003903565,0.003175015,0.003136918,0.002668676,0.002537201,0.002484937,0.002326214,0.002278166,0.002259807,0.000974579,0.000795866,
nr.employedGreater,0.156705017,0.119669139,0.11013233,0.028219879,0.028126047,0.027659675,0.027264933,0.026343985,0.024105052,0.023128271,0.023010475,0.021470431,0.02055503,0.020412811,0.020364028,0.020190048,0.020137557,0.020110882,0.020039626,0.019961028,0.019610612,0.019357828,0.017695504,0.017315433,0.016060973,0.01240738,0.011034759,0.010609383,0.008563576,0.007910505,0.006850133,0.006796803,0.006638084,0.00640663,0.006035665,0.006001472,0.006001045,0.005554134,0.003786827,0.003538896,0.003469981,0.003181658,0.003061062,0.002797769,0.001929311,0.001736104,0.001607796,0.001568532,0.001551889,0.001333538,0.001153331,0.00050776,0.000244872,6.48E-05,9.69E-06,,,,
nr.employedLess,0.130294487,0.078478191,0.071961151,0.04984483,0.039955355,0.029476324,0.029390515,0.02837692,0.023224861,0.022763441,0.022152537,0.020397475,0.020250961,0.019727871,0.018866206,0.018808017,0.017805464,0.017770051,0.017703331,0.016748075,0.015534535,0.01545553,0.015264665,0.014807844,0.014607581,0.014380981,0.014010773,0.01173615,0.011727751,0.011695473,0.011497483,0.011254902,0.010902542,0.010888453,0.010566097,0.009545332,0.009404741,0.008747249,0.00845271,0.008142905,0.007773266,0.006429962,0.006311178,0.005791428,0.005333962,0.004702026,0.004660394,0.003487085,0.003264418,0.003253677,0.002577129,0.002546782,0.002499383,0.00240699,0.002329769,0.002254323,0.001049315,0.000709155,
